Feature,VIF
furnishingstatus_unfurnished,1.6638293803834818
furnishingstatus_semi-furnished,1.5857731185966666
stories,1.4576763201163703
area,1.4129375341468906
bedrooms,1.3483069651634292
basement_yes,1.3226594038518555
bathrooms,1.2795836322140088
airconditioning_yes,1.2391925911237565
parking,1.218667672112488
guestroom_yes,1.215665778031414
mainroad_yes,1.1822362797738386
prefarea_yes,1.1466528423267308
hotwaterheating_yes,1.0527162065497815
