Feature,Coefficient
Intercept,4716708.779342723
area,476497.19666712993
bathrooms,479721.6914442623
stories,450347.4439333379
parking,234233.99487420073
mainroad_yes,175975.76703644698
basement_yes,211063.69339672994
hotwaterheating_yes,200261.39485210026
airconditioning_yes,387082.0239506723
prefarea_yes,283465.4664910442
furnishingstatus_unfurnished,-181683.06766259047
